projectId|projectType|projectLocation|usagePosition|usageEndPosition|usageFullyQualifiedName|usageKind|usageType
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/optiongroup.java(75:19)|/src/main/java/org/apache/commons/cli/optiongroup.java(77:5)|org.apache.commons.cli.OptionGroup.getSelected()|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/options.java(96:20)|/src/main/java/org/apache/commons/cli/options.java(99:5)|org.apache.commons.cli.Options.addOption(java.lang.String,boolean,java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/defaultparser.java(128:27)|/src/main/java/org/apache/commons/cli/defaultparser.java(130:5)|org.apache.commons.cli.DefaultParser.builder()|SYMBOL_KIND_METHOD|SYMBOL_USE_STATIC_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(431:17)|/src/main/java/org/apache/commons/cli/helpformatter.java(437:5)|org.apache.commons.cli.HelpFormatter.printHelp(int,java.lang.String,java.lang.String,org.apache.commons.cli.Options,java.lang.String,boolean)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/option.java(778:17)|/src/main/java/org/apache/commons/cli/option.java(780:5)|org.apache.commons.cli.Option.setArgName(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/options.java(325:19)|/src/main/java/org/apache/commons/cli/options.java(335:5)|org.apache.commons.cli.Options.toString()|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/typehandler.java(151:25)|/src/main/java/org/apache/commons/cli/typehandler.java(180:5)|org.apache.commons.cli.TypeHandler.createValue(java.lang.String,java.lang.Class)|SYMBOL_KIND_METHOD|SYMBOL_USE_VIRTUAL_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/option.java(201:24)|/src/main/java/org/apache/commons/cli/option.java(204:9)|org.apache.commons.cli.Option$Builder.optionalArg(boolean)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/option.java(584:19)|/src/main/java/org/apache/commons/cli/option.java(586:5)|org.apache.commons.cli.Option.getValue()|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/defaultparser.java(69:30)|/src/main/java/org/apache/commons/cli/defaultparser.java(71:9)|org.apache.commons.cli.DefaultParser$Builder.build()|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/optionbuilder.java(222:33)|/src/main/java/org/apache/commons/cli/optionbuilder.java(226:5)|org.apache.commons.cli.OptionBuilder.isRequired(boolean)|SYMBOL_KIND_METHOD|SYMBOL_USE_VIRTUAL_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/basicparser.java(27:14)|/src/main/java/org/apache/commons/cli/basicparser.java(49:1)|org.apache.commons.cli.BasicParser|SYMBOL_KIND_CLASS|SYMBOL_USE_INHERITANCE
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/commandline.java(366:19)|/src/main/java/org/apache/commons/cli/commandline.java(375:5)|org.apache.commons.cli.CommandLine.getParsedOptionValue(org.apache.commons.cli.Option)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/option.java(124:24)|/src/main/java/org/apache/commons/cli/option.java(127:9)|org.apache.commons.cli.Option$Builder.desc(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/patternoptionbuilder.java(112:26)|/src/main/java/org/apache/commons/cli/patternoptionbuilder.java(135:5)|org.apache.commons.cli.PatternOptionBuilder.getValueClass(char)|SYMBOL_KIND_METHOD|SYMBOL_USE_STATIC_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/commandline.java(322:21)|/src/main/java/org/apache/commons/cli/commandline.java(332:5)|org.apache.commons.cli.CommandLine.getOptionValues(org.apache.commons.cli.Option)|SYMBOL_KIND_METHOD|SYMBOL_USE_VIRTUAL_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(393:19)|/src/main/java/org/apache/commons/cli/helpformatter.java(395:5)|org.apache.commons.cli.HelpFormatter.getSyntaxPrefix()|SYMBOL_KIND_METHOD|SYMBOL_USE_VIRTUAL_INVOCATION
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/helpformatter.java(870:17)|/src/main/java/org/apache/commons/cli/helpformatter.java(872:5)|org.apache.commons.cli.HelpFormatter.setLongOptPrefix(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/option.java(664:20)|/src/main/java/org/apache/commons/cli/option.java(666:5)|org.apache.commons.cli.Option.hasArgs()|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
commons-cli-1.5.0|MAIN|I:/UCov/Repro/commons-cli/Main|/src/main/java/org/apache/commons/cli/commandline.java(340:21)|/src/main/java/org/apache/commons/cli/commandline.java(342:5)|org.apache.commons.cli.CommandLine.getOptionValues(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_VIRTUAL_INVOCATION
